78,-150,-1
76,-152,-3
67,-169,-21
58,-185,-38
62,-184,-38
77,-175,-32
95,-163,-25
109,-151,-20
118,-143,-16
124,-137,-13
134,-125,-9
141,-115,-5
146,-108,-3
159,-85,3
163,-75,5
166,-67,7
170,-55,9
173,-42,12
175,-31,13
177,-23,14
179,-12,16
180,0,17
181,12,18
182,21,18
183,31,19
184,42,19
184,55,19
185,65,18
186,75,18
187,83,17
189,93,16
191,103,15
194,114,13
197,123,11
198,124,0
199,127,-42
199,128,-62
200,129,-63
200,129,-63
200,129,-63
200,129,-63
200,129,-63
200,129,-63
200,129,-58
200,129,-21
199,129,8
200,129,9
200,129,9
200,129,9
200,129,9
200,129,9
200,129,9
197,124,11
195,117,12
192,108,14
189,98,15
188,86,17
186,75,18
185,65,18
185,56,19
183,37,19
183,29,19
182,19,18
181,8,18
180,-5,17
178,-15,15
177,-24,14
175,-34,13
172,-48,11
168,-60,9
166,-68,7
162,-78,5
156,-91,1
150,-102,-1
140,-117,-6
135,-124,-8
128,-133,-12
116,-144,-17
108,-152,-20
101,-158,-23
86,-169,-29
78,-174,-32
67,-181,-36
59,-186,-55
57,-187,-60
57,-187,-60
57,-187,-60
57,-187,-55
57,-187,-17
57,-186,23
57,-186,30
57,-186,30
